PRECINCT,POP_AGE18_24,POP_25OVER,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACEHISPANIC,SQF_RACEWHITE,SQF_SEXM,SQF_SEXF,SQF_SEXZ,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,POP_Adult,POP_Male,POP_Female,UNDERHS_ALL,GRAD_ALL,COLLEGE_ALL,BACHELORS_ALL,POP_AGE18_24,POP_25OVER,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F
1,55907,505001,547,6375,2067,1944,10183,913,28,574,2201,2976,2267,2903,152,1401,9531,23070,21873,560908,264511,292194,17691,35129,56140,213292,55907,505001,1401,9531,23070,21873,795,4303,10006,9275,671,5229,13066,14494,8145,7696,25598,33070,191419,2771,3429,11046,16078,87539,5320,4389,14378,16601,98356
5,54877,397216,1376,4347,3114,1529,9569,1216,189,1028,2783,2770,1863,2292,202,5377,8208,21418,19730,452093,228135,223958,148145,66038,52187,124505,54877,397216,5377,8208,21418,19730,3650,4086,10626,9632,1784,4123,10792,11852,71384,39463,57830,30769,104775,31152,19059,30436,15929,54358,46041,19565,26080,14418,48035
6,61869,558957,257,6920,2349,2200,10972,909,295,524,3075,3496,2405,2422,169,815,10811,23827,26634,620826,300763,320063,8911,39108,60773,233252,61869,558957,815,10811,23827,26634,613,4983,9792,11937,619,5828,14032,17168,4048,5086,28297,36946,206618,1956,3286,14759,17550,94867,2032,1888,13334,19033,106092
7,57606,584093,483,5050,5700,1578,12327,796,162,1501,4162,3894,1805,1748,132,8679,12657,24037,11268,641699,300392,341307,262555,124995,79812,110137,57606,584093,8679,12657,24037,11268,4114,7200,11315,5587,4561,5459,12720,6653,126938,77698,112338,55775,98869,50127,39466,50802,25908,48166,79863,36139,59120,28922,49901
9,156041,684505,521,6935,7530,4151,17761,1712,401,1601,6308,5459,3053,3134,246,6691,32893,72539,42670,840546,408422,432124,110783,116875,139210,264164,156041,684505,6691,32893,72539,42670,4041,13244,29317,20308,2965,19645,43224,26478,52046,39906,83982,66671,221494,21160,18093,40613,35345,106368,31415,21526,42003,30242,109902
10,48494,420623,283,5253,2556,1866,9318,856,81,556,2667,2921,1889,2016,85,2324,11696,18936,16883,469117,243136,225981,32972,46360,55565,161369,48494,420623,2324,11696,18936,16883,1240,4361,7943,8034,1054,7335,10993,10128,15324,15197,34664,36629,144486,4913,7770,19119,18820,74495,8664,7500,14817,17247,65526
13,178799,990330,465,7439,4578,3537,14913,1493,154,1050,3729,4246,3182,4044,219,4960,24541,67005,81640,1169129,552786,616343,45088,86637,146597,439721,178799,990330,4960,24541,67005,81640,3363,9122,20007,38831,1653,15420,46995,50513,20064,20091,62096,79592,358081,9632,11681,32444,37086,163395,9884,8426,29088,42025,185754
14,24645,219420,1300,20609,8339,5966,33242,3684,398,1720,8224,9474,7189,9929,640,1432,4686,7383,12413,244065,122415,121650,14606,23760,27661,86489,24645,219420,1432,4686,7383,12413,906,2112,1995,6358,622,2574,5388,7278,6587,7658,19074,20278,74076,2795,4679,9689,10425,35185,3848,3083,9263,9749,36967
17,65304,649034,296,2586,1695,1318,5497,644,184,375,1288,1663,1208,1655,113,884,5478,12216,46580,714338,321751,392587,13188,38352,59778,281224,65304,649034,884,5478,12216,46580,460,2472,3383,22049,555,3006,8833,29483,6152,7844,32874,47562,234644,2516,4297,13929,18072,101673,4251,3724,18994,29527,128380
18,66034,669305,419,5970,2951,2116,10456,1242,67,950,2805,2926,1990,2877,151,2614,8973,18738,35419,735339,384900,350439,36412,65974,75360,260071,66034,669305,2614,8973,18738,35419,1642,4769,7288,18482,1329,4204,11450,19653,16899,17791,57001,56622,224652,7105,9728,27859,29715,113261,11321,8194,28505,26513,104943
19,130081,2015658,673,6550,5503,3972,15348,1754,345,1512,3945,4502,3218,3954,220,6058,14225,34570,74545,2145739,920016,1224434,79990,139535,173639,731810,130081,2015658,6058,14225,34570,74545,3283,6246,13093,32741,2968,7979,21478,50046,36966,36184,125310,139069,657265,13095,17170,49889,57412,258774,19441,19646,74853,81415,389239
