YEAR,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,POP_Adult,POP_Male,POP_Female,UNDERHS_ALL,GRAD_ALL,COLLEGE_ALL,BACHELORS_ALL,POP_AGE18_24,POP_25OVER,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACEHISPANIC,SQF_RACEWHITE,SQF_SEXM,SQF_SEXF,SQF_SEXZ,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older
2010,5608,211454,318695,144502,6294086,2923242,3370844,1330031,1610348,1083731,1221993,21882,5456416,163015,211454,318695,144502,96270,113376,147473,54697,66739,98086,171227,89810,583508,560507,1398894,765036,1077491,261213,262583,649333,361538,500619,322283,297899,749489,403516,576929,19732,315083,189326,54810,549917,41609,9759,86278,213778,151991,75674,68911,3640
2011,5609,205195,339048,144111,6350670,2953785,3396885,1682249,410390,678096,288222,21760,5503159,159157,205195,339048,144111,82173,110851,156588,144111,89605,94345,182457,144111,761546,554616,205195,339048,144111,262214,261581,110851,156588,55727,325320,293011,94345,182457,88389,23932,350743,223740,61805,626830,46784,12110,106500,244871,168303,82588,77568,4270
2012,5836,201565,352582,147506,6421106,2990341,3430765,1334080,1570562,1168825,488662,22826,5565178,154272,201565,352582,147506,90940,109122,163498,57849,63331,92442,189081,89662,589904,558849,1368997,816243,341156,264426,265492,639304,389176,341156,325475,293412,729633,427032,341156,17058,284229,165140,50366,487065,38062,7784,81946,187592,132570,64164,62440,3389
2013,5173,200828,358727,144482,6488897,3027454,3461443,1325032,1581754,1178637,1291706,22052,5637943,146242,200828,358727,144482,51002,108180,166451,57585,82058,92648,192268,86896,589395,552514,1380926,819910,1147224,264467,264350,647856,393428,531495,324885,288182,733137,426357,615716,6845,104449,54930,20820,176754,13212,1885,26347,67951,50145,23466,22352,1184
2014,4907,201546,360934,143664,6566187,3057544,3501787,1319951,1599508,1184491,1324433,21212,5720125,139925,201546,360934,143664,81740,107557,168323,58120,58178,93990,192608,85553,590013,550084,1397962,823557,1180769,264083,262734,659992,397968,548523,325948,287397,738007,425711,632246,2281,24319,12489,5467,42528,2865,394,6021,16832,11972,5599,5007,263
2015,4758,193759,360988,144010,6631920,3099336,3532584,1310634,1593670,1187627,1361711,22199,5798363,129304,193759,360988,144010,74482,104044,168836,59144,54822,89715,192152,84866,590665,549363,1399911,826639,1217701,262792,263738,663304,398020,568914,327873,285625,736607,428619,648787,1103,11950,6499,2514,20853,1515,195,3217,8300,5981,2644,2213,151
2016,4260,198133,354126,144900,6665064,3117554,3547510,1278239,1600719,1183192,1390109,20867,5848952,118953,198133,354126,144900,67693,105634,166868,59841,51260,92499,187258,85059,579643,544697,1402586,829066,1245209,259547,260580,666396,400273,581439,320096,284117,736190,428793,663770,737,6498,3626,1270,11450,896,58,1854,4139,3248,1716,1351,62
2017,3500,191160,346810,144744,6762347,3162976,3599371,1283540,1628290,1176421,1425202,19933,5967091,112542,191160,346810,144744,64528,102468,163241,58965,48014,88692,183569,85779,585499,541825,1437130,829611,1280458,259941,259502,687396,399972,597479,325558,282323,749734,429639,682979,203,6333,3420,969,10188,930,0,1960,3225,2814,1402,1144,55
2019,2994,179761,313646,141481,6661767,3118846,3542921,1194710,1606209,1126094,1455814,18866,5932377,94502,179761,313646,141481,54155,95186,148425,57407,40347,84575,165221,84074,550104,508662,1426448,812448,1314333,242453,245832,689753,389795,614214,307651,262830,736695,422653,700119,301,7981,3869,1215,12179,1230,0,2353,3535,3311,1668,1403,98
2020,2849,176918,301195,142397,6642083,3110990,3531093,1154457,1576545,1108450,1483173,17530,5933426,88147,176918,301195,142397,50349,93501,142210,58434,37798,83417,158985,83963,533155,488917,1399627,807255,1340776,158507,161884,297403,219946,268899,298006,252415,718616,418438,715620,219,5367,2879,856,8642,855,0,1368,2273,2445,1473,1176,68
2021,2626,184745,302897,146738,6913666,3260642,3653024,1188747,1647274,1137420,1564175,19034,6191695,87591,184745,302897,146738,50307,98435,142936,59196,37284,86310,159961,87542,550578,490991,1462529,834523,1417437,245061,241041,719966,406617,663932,305517,249950,742563,427906,753505,192,5404,2457,732,8129,773,0,1040,2141,2312,1422,1133,76
2022,2740,191696,294263,152663,6849907,3242063,3607844,1176959,1622140,1109712,1576464,18804,6126610,84675,191696,294263,152663,48260,101686,140407,63109,36415,90010,153856,89554,546142,475655,1430444,815449,1423801,244156,234376,706304,399635,670415,301986,241279,724140,415814,753386,320,8863,4477,1077,13829,1139,0,1974,3788,3811,2082,1625,106
