YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older
2009,1,190,2391,4,83,1634,8,97,411,40,310,0,2,151,574,541,543,735,37
2009,5,305,2552,23,403,1161,7,250,602,69,314,0,74,219,653,641,620,698,46
2009,6,149,2150,26,54,1323,6,80,388,18,408,0,48,93,518,610,545,527,27
2009,7,278,3487,60,144,1336,14,365,1416,54,450,0,46,386,1237,1234,539,391,36
2009,9,398,4734,64,142,1725,18,410,1696,117,1012,0,76,373,1577,1496,887,809,47
2009,10,256,2492,12,78,1283,11,152,640,35,554,0,7,115,841,897,494,367,22
2009,13,376,4173,45,135,2030,16,292,1126,80,732,0,183,268,1037,1141,948,1120,75
2009,14,782,9226,86,282,5794,32,425,1964,26,1326,0,245,434,2120,2563,2143,2660,164
2009,17,145,1429,37,99,595,5,88,355,63,360,0,46,66,324,440,344,408,28
2009,18,269,2189,37,72,1258,8,110,477,2,475,0,93,218,562,629,452,612,22
2009,19,371,3349,64,137,1334,14,257,929,17,942,0,154,322,885,977,755,799,40
2009,20,382,2617,42,103,1213,18,168,747,6,674,0,112,314,695,652,603,722,54
2009,22,39,518,34,12,241,0,38,134,0,108,0,58,148,161,84,103,81,3
2009,23,1034,13237,230,116,8090,23,1057,4267,135,399,0,414,1722,5061,3589,2081,1914,108
2009,24,287,2764,26,22,1819,0,228,757,4,190,0,57,389,750,562,542,750,81
2009,25,568,7546,105,53,5124,17,667,1802,60,258,0,238,814,2256,2065,1509,1476,70
2009,26,261,3776,22,31,2873,1,260,734,5,119,0,36,664,1049,847,658,766,65
2009,28,571,6770,72,50,6058,7,250,754,31,164,0,99,707,2138,1804,1282,1398,77
2009,30,392,7131,110,47,3498,23,1347,2358,20,187,0,153,775,2964,2133,1001,714,36
2009,32,742,11304,81,82,10889,8,311,643,4,82,0,108,2923,4515,2307,1139,1033,184
2009,33,256,5559,14,34,1434,8,1541,2456,130,204,0,22,504,2132,1688,793,676,28
2009,34,362,6894,40,34,947,8,2457,3319,13,207,0,311,724,3218,2139,663,522,24
2009,40,1026,13981,160,27,7648,15,1768,5263,107,112,0,227,2421,5465,3770,1907,1478,115
2009,41,751,6685,602,10,3452,3,856,2761,40,144,0,772,1098,2952,2244,943,750,46
2009,42,700,8558,213,18,5755,7,694,2414,27,67,0,489,1624,3575,2308,1066,825,55
2009,43,849,8846,191,80,4566,40,1210,3378,21,135,0,456,1127,3700,2645,1327,1024,48
2009,44,544,10601,811,72,5173,17,1701,3919,45,141,0,888,2021,5084,2925,1059,796,53
2009,45,317,3925,43,80,1494,17,393,1379,15,863,0,44,1000,1463,893,501,403,24
2009,46,488,8397,114,70,3635,44,1128,3082,26,115,0,899,1193,3665,2267,1018,805,40
2009,47,539,6077,69,65,4946,18,324,1024,84,120,0,104,1232,2581,1540,735,573,17
2009,48,296,3178,59,16,1588,8,404,1323,7,105,0,82,467,1176,964,478,423,19
2009,49,478,6246,18,122,3185,55,508,2034,20,699,0,119,1654,2886,1186,515,467,28
2009,50,87,2222,14,18,709,2,309,1038,0,224,0,23,330,859,528,322,274,9
2009,52,515,8488,169,114,2903,32,1254,3877,19,368,0,605,1340,3652,2315,1067,748,35
2009,60,662,8063,56,178,4555,46,347,1883,36,1665,0,71,1424,3196,2149,1098,848,61
2009,61,268,5122,6,112,1779,0,144,852,69,2391,0,49,930,2544,1143,446,314,15
2009,62,280,5749,11,308,437,51,163,1500,118,3436,0,27,1259,2409,1284,691,356,19
2009,63,148,2271,101,26,1917,6,39,136,17,265,0,114,484,1218,568,141,104,3
2009,66,283,3655,49,329,403,103,410,1669,60,939,0,74,633,1390,1126,461,357,16
2009,67,696,11514,175,123,11684,9,67,189,8,94,0,211,1285,4748,3601,1411,1267,58
2009,68,179,2349,17,108,157,8,65,662,7,1517,0,21,397,1102,582,261,187,12
2009,69,266,5388,13,37,5139,6,96,262,15,93,0,19,916,2457,1375,512,385,17
2009,70,660,9569,58,289,7477,23,173,1905,54,281,0,85,2130,3962,2360,914,710,192
2009,71,312,6545,8,35,6372,4,93,220,1,127,0,13,959,2589,1810,840,647,14
2009,72,104,3890,5,88,337,10,393,2882,32,224,0,33,740,1533,1094,406,214,10
2009,73,1835,24200,675,133,23189,24,513,1807,28,184,0,832,5673,9658,5685,3031,2504,125
2009,75,1979,29108,573,310,24571,112,1142,4379,76,401,0,669,4829,12019,7810,3737,3023,156
2009,76,520,4889,12,126,2299,23,357,1517,11,1007,0,81,620,1316,1301,1075,1085,21
2009,77,676,9401,298,83,9010,7,144,534,62,203,0,332,1012,3163,2693,1651,1768,79
2009,78,192,2156,84,49,978,8,149,696,52,412,0,88,298,638,648,474,357,15
2009,79,1931,18519,276,133,16483,34,504,2047,43,791,0,691,2319,6266,5212,3165,3557,185
2009,81,408,8598,95,35,8217,8,166,468,11,63,0,133,1447,3419,2258,1010,904,49
2009,83,521,8862,53,74,3419,17,808,4557,21,361,0,179,1177,3132,2728,1417,924,40
2009,84,346,3653,11,85,2703,20,131,598,28,421,0,24,721,1091,866,606,667,46
2009,88,520,6585,51,122,5582,43,155,828,4,362,0,60,1203,2276,1531,992,1010,127
2009,90,574,9679,145,93,3601,16,1142,4442,14,891,0,199,1394,3505,2647,1554,1242,49
2009,94,90,1454,2,21,333,9,112,488,4,573,0,6,129,515,485,240,173,3
2009,100,263,2753,4,33,1996,5,83,374,8,516,0,5,498,1177,672,339,315,19
2009,101,282,8861,16,33,8218,11,114,543,133,87,0,20,1472,4192,2161,758,500,47
2009,102,369,6052,273,1388,1240,82,323,2669,10,603,0,379,1418,2849,1394,596,405,25
2009,103,746,10164,247,359,7868,109,280,1764,274,209,0,294,1154,4112,2962,1531,1325,59
2009,104,500,7445,39,237,765,23,545,3752,44,2545,0,73,1610,3086,1771,866,625,21
2009,105,401,7493,59,416,5665,74,209,765,109,438,0,277,764,3497,2213,912,540,24
2009,106,430,7329,53,2407,2576,121,248,1386,18,774,0,282,1515,3120,1725,797,612,37
2009,107,425,5769,73,562,2678,251,211,1351,108,1068,0,38,1083,2621,1487,588,425,58
2009,108,393,6525,2,1072,720,24,472,3217,11,1396,0,8,845,2325,1860,1110,749,29
2009,109,584,9582,8,1530,1488,49,633,4668,27,1607,0,172,1586,3980,2601,1292,702,10
2009,110,536,11016,100,426,1005,34,519,9086,20,419,0,143,1962,4874,3059,1149,571,26
2009,111,342,4540,60,890,697,62,105,1250,6,1706,0,226,1021,2039,968,484,415,14
2009,112,196,2893,143,192,571,28,88,805,20,1382,0,146,577,1175,725,399,323,26
2009,113,829,10087,129,148,9951,31,120,363,28,102,0,302,824,4361,3292,1373,1097,70
2009,114,848,9528,568,568,3855,132,456,3498,186,1967,0,282,1438,3897,2890,1604,1062,38
2009,115,451,12441,31,390,969,48,1095,9878,77,388,0,78,1165,5170,4194,1525,810,51
2009,120,2442,18347,9,238,11958,48,843,4429,170,3085,0,27,2284,7833,5727,2869,1978,79
2009,122,647,5599,55,119,929,42,119,898,44,3896,0,254,1187,2653,1238,677,521,21
2009,123,103,2419,34,35,107,0,32,164,35,2144,0,39,487,1216,478,206,161,3
