PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older
1,11,87,0,1,66,0,0,14,0,18,0,0,20,22,21,15,17,0
5,10,77,0,7,37,0,8,19,0,13,0,0,1,22,26,14,12,1
6,10,92,0,4,57,0,4,17,0,21,0,0,15,17,25,20,21,1
7,11,126,0,3,57,1,13,52,0,12,0,0,15,48,48,14,11,0
9,17,100,0,1,61,0,12,32,0,12,0,0,5,28,34,16,25,3
10,8,75,0,2,47,0,7,15,0,12,0,0,3,19,27,19,9,1
13,15,166,0,5,101,1,8,38,0,28,0,0,21,24,47,34,43,3
14,6,85,0,4,60,0,4,13,0,10,0,0,8,18,30,10,19,4
17,4,25,0,3,13,0,2,5,0,7,0,0,3,6,8,6,6,0
18,11,85,0,7,48,0,4,15,0,22,0,0,8,16,26,21,21,0
19,21,195,0,4,120,0,16,32,0,44,0,0,52,32,42,29,45,1
20,10,61,0,0,41,0,6,11,0,12,0,0,10,7,16,19,16,0
22,3,21,0,0,17,0,0,4,0,3,0,0,14,4,4,2,0,0
23,28,317,0,2,205,0,24,98,0,16,0,0,70,76,78,42,52,4
24,17,165,0,1,106,0,27,34,0,16,0,0,29,22,51,32,37,0
25,24,197,0,1,144,1,18,46,0,10,0,0,20,36,75,30,38,0
26,12,85,0,0,59,0,10,18,0,9,0,0,11,20,20,16,24,1
28,14,94,0,1,85,0,6,6,0,10,0,0,6,18,29,18,23,4
30,11,90,0,0,54,0,26,18,0,4,0,0,24,24,15,19,17,0
32,17,123,0,0,106,0,14,12,0,8,0,0,21,39,29,16,23,2
33,11,116,0,0,46,0,33,44,0,4,0,0,6,29,38,21,19,2
34,12,174,0,0,25,0,68,83,0,12,0,0,13,69,66,14,13,0
40,22,287,0,0,151,0,42,111,0,5,0,0,40,91,63,45,42,3
41,3,69,0,0,37,0,12,22,0,1,0,0,4,23,29,7,8,0
42,19,235,0,0,173,0,27,48,0,2,0,0,40,74,65,28,25,0
43,47,346,0,0,231,1,55,99,0,5,0,0,60,109,119,35,37,1
44,15,206,0,2,94,0,50,66,0,9,0,0,19,59,56,32,36,0
45,11,89,0,0,47,1,9,32,0,14,0,0,18,24,34,16,5,0
46,14,255,0,0,139,0,49,73,0,5,0,0,33,68,76,37,38,1
47,6,98,0,0,69,1,13,18,0,3,0,0,3,39,30,9,15,0
48,12,194,0,1,107,0,36,54,0,8,0,0,30,64,60,14,19,0
49,14,127,0,1,60,0,16,46,0,19,0,0,20,27,30,20,32,1
50,2,43,0,0,17,0,12,12,0,4,0,0,2,12,9,9,5,0
52,14,188,0,0,70,2,47,79,0,4,0,0,22,57,53,22,13,1
60,15,159,0,2,98,0,4,39,0,30,0,0,19,46,46,25,24,1
61,7,129,0,2,51,0,8,21,0,54,0,0,24,38,38,8,17,1
62,7,89,0,7,18,0,6,24,0,40,0,0,11,26,29,13,11,1
63,17,146,0,2,136,1,2,5,0,17,0,0,28,42,32,33,12,0
66,0,55,0,2,12,0,13,15,0,12,0,0,10,8,16,12,6,0
67,15,272,0,1,267,0,6,9,0,5,0,0,44,81,65,39,28,1
68,3,46,0,4,7,1,0,11,0,26,0,0,2,8,15,13,8,1
69,15,142,0,2,147,0,3,1,0,2,0,0,31,58,26,18,10,0
70,8,107,0,6,83,0,6,7,0,12,0,0,17,35,29,13,10,1
71,19,159,0,0,154,0,6,4,0,15,0,0,36,44,46,20,20,0
72,37,154,0,13,31,1,14,114,0,19,0,0,25,45,59,35,22,0
73,28,250,0,0,244,0,10,24,0,0,0,0,31,106,70,31,21,0
75,45,381,0,6,326,0,26,60,0,10,0,0,48,139,100,44,34,1
76,6,87,0,0,51,0,8,23,0,11,0,0,11,29,21,5,18,1
77,13,129,0,1,130,0,1,8,0,2,0,0,21,38,39,22,13,0
78,12,96,0,1,58,0,8,32,0,9,0,0,24,12,23,17,25,2
79,25,204,0,2,186,0,9,27,0,6,0,0,23,71,57,29,30,1
81,9,113,0,2,112,0,1,3,0,5,0,0,25,23,29,19,17,0
83,17,129,0,1,74,0,11,48,0,11,0,0,17,28,44,28,15,2
84,15,116,0,1,102,0,6,7,0,17,0,0,29,30,21,19,22,1
88,9,100,0,0,92,0,2,14,0,1,0,0,10,24,31,12,25,1
90,7,144,0,1,64,0,21,48,0,17,0,0,24,42,45,20,13,0
94,9,60,0,2,30,0,1,12,0,23,0,0,5,19,24,10,5,0
100,13,93,0,1,69,0,7,12,0,17,0,0,25,27,25,11,15,0
101,5,57,0,0,55,0,1,4,0,3,0,0,31,12,12,5,1,0
102,5,72,0,7,34,0,11,19,0,6,0,0,5,23,17,15,10,0
103,26,193,0,6,144,1,14,46,0,7,0,0,31,58,71,28,13,1
104,4,60,0,0,8,1,6,29,0,20,0,0,13,15,12,9,8,3
105,11,120,0,6,101,2,3,10,0,10,0,0,18,36,32,15,21,2
106,3,67,0,12,35,1,3,10,0,9,0,0,7,16,21,11,13,0
107,7,95,0,4,51,0,5,27,0,16,0,0,30,28,20,12,8,1
108,12,64,0,4,18,0,7,32,0,16,0,0,8,26,17,12,10,2
109,12,84,0,21,24,0,9,23,0,20,0,0,19,23,20,20,14,1
110,18,121,0,12,18,0,11,90,0,7,0,0,26,44,37,18,8,1
