YEAR,PRECINCT,SQF_SEXF,SQF_SEXM,SQF_SEXZ,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACENATIVE,SQF_RACEHISPB,SQF_RACEHISPW,SQF_RACEUNK1,SQF_RACEWHITE,SQF_RACEUNK2,SQF_RACEOTHER,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older,POP_AGE18_24,POP_AGE18_24_M,POP_AGE18_24_F,POP_25OVER,POP_25OVER_M,POP_25OVER_F,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F
2019,1,19,117,0,3,85,1,7,20,0,21,0,0,25,28,38,16,21,4,4406,2128,2278,45344,21756,23588,160,789,1867,1590,95,403,880,750,65,386,987,840,718,731,2194,2768,19938,281,238,1148,1416,9458,437,493,1046,1352,10480
2019,5,20,84,0,8,51,0,11,16,0,19,0,0,11,28,25,19,15,2,4057,1903,2154,31369,15861,15508,437,525,1532,1563,241,302,597,763,196,223,935,800,5513,3934,4774,2226,9890,2233,1931,3026,1295,5119,3280,2003,1748,931,4771
2019,6,31,116,0,0,90,0,8,15,0,33,0,0,27,29,38,29,14,2,4909,2219,2690,46399,22208,24191,57,735,2000,2117,42,313,1005,859,15,422,995,1258,256,433,2391,3065,18827,128,291,1429,1464,8874,128,142,962,1601,9953
2019,7,23,129,0,3,79,0,15,43,0,12,0,0,25,33,50,21,20,0,3917,2082,1835,48026,21335,26691,399,953,1817,748,274,523,960,325,125,430,857,423,10188,6901,9618,4590,9233,3607,3747,4488,2142,4263,6581,3154,5130,2448,4970
2019,9,14,127,0,1,56,0,14,48,0,23,0,0,15,42,34,24,18,0,12791,5169,7622,55327,28046,27281,349,2623,6687,3132,208,890,2572,1499,141,1733,4115,1633,4134,2997,7512,5727,21311,1733,1349,3611,3195,11353,2401,1648,3901,2532,9958
2019,10,12,112,0,3,66,0,7,33,0,15,0,0,1,26,41,24,24,1,4521,1939,2582,39207,21363,17844,207,907,1854,1553,148,301,874,616,59,606,980,937,1238,1269,3470,3447,15143,562,647,2031,1673,8662,676,622,1439,1774,6481
2019,13,18,174,0,1,123,1,10,43,0,13,0,0,48,31,52,21,36,1,13501,5763,7738,80802,40944,39858,531,1785,5104,6081,453,778,1763,2769,78,1007,3341,3312,1478,1600,5313,5476,35706,845,1018,2999,2498,17496,633,582,2314,2978,18210
2019,14,25,123,0,3,86,0,8,28,0,23,0,0,20,34,38,22,24,3,1627,627,1000,18232,9272,8960,111,349,466,701,81,161,111,274,30,188,355,427,495,456,1653,1449,7474,196,264,840,858,3897,299,192,813,591,3577
2019,17,4,48,0,1,33,0,5,4,0,9,0,0,13,9,12,10,6,0,5299,2313,2986,55659,25854,29805,107,587,1130,3475,43,233,368,1669,64,354,762,1806,957,751,2055,3941,23907,387,340,993,1460,11338,570,411,1062,2481,12569
2019,18,23,156,0,2,118,0,9,22,0,28,0,0,39,45,40,21,21,2,6101,2901,3200,61392,32739,28653,145,1108,1729,3119,72,677,658,1494,73,431,1071,1625,1514,1503,5078,4736,23336,403,918,2521,2245,13247,1111,585,2557,2491,10089
2019,19,35,254,0,1,153,0,23,69,0,41,0,0,69,59,46,41,53,0,9808,3961,5847,166035,71475,94560,465,1021,3122,5200,208,493,1218,2042,257,528,1904,3158,2443,2421,11462,11800,62010,832,1092,4332,4630,24743,1611,1329,7130,7170,37267
2019,20,25,129,0,0,92,0,12,26,0,24,0,0,20,21,36,26,37,1,4099,1780,2319,78718,34472,44246,188,782,1375,1754,160,250,653,717,28,532,722,1037,1123,1298,4797,5348,28245,658,681,1955,2485,12083,465,617,2842,2863,16162
2019,22,3,45,0,1,29,0,2,5,0,9,0,0,25,7,7,2,2,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019,23,23,343,0,1,207,1,35,98,0,23,0,0,85,103,80,42,27,2,9111,4629,4482,59226,25877,33349,1301,2294,3832,1684,763,1304,1931,631,538,990,1901,1053,7078,7317,13482,7735,11166,3031,3485,6021,2988,4976,4047,3832,7461,4747,6190
2019,24,13,169,0,2,115,0,15,30,0,18,0,0,41,40,33,24,36,0,5330,1932,3398,83430,38154,45276,414,707,1588,2621,194,274,585,879,220,433,1003,1742,4703,3747,8083,7035,24750,2034,1803,3622,3378,11506,2669,1944,4461,3657,13244
2019,25,36,238,0,1,179,0,22,54,0,20,0,0,42,61,61,49,40,1,2942,1646,1296,22936,11327,11609,559,865,944,574,383,585,470,208,176,280,474,366,2689,4285,5831,3300,3422,1250,2502,3104,1468,1599,1439,1783,2727,1832,1823
2019,26,12,84,0,1,67,0,5,18,0,5,0,0,20,13,28,9,14,0,12814,4940,7874,30116,14095,16021,407,1776,7810,2821,277,699,2921,1043,130,1077,4889,1778,1445,1811,4206,2903,7788,530,702,2103,1449,3771,915,1109,2103,1454,4017
2019,28,19,149,0,1,146,0,7,8,0,6,0,0,20,30,44,28,25,6,5688,2600,3088,48058,22071,25987,892,1330,2399,1067,425,786,811,578,467,544,1588,489,3261,4797,9894,6460,11115,1417,2552,4507,3149,4985,1844,2245,5387,3311,6130
2019,30,13,102,0,1,76,0,13,21,0,2,0,0,32,20,26,10,14,0,6659,3271,3388,46316,22455,23861,1056,1042,2827,1734,540,763,1337,631,516,279,1490,1103,6812,4563,10184,6541,9108,3098,2380,4991,3338,4632,3714,2183,5193,3203,4476
2019,32,33,232,0,0,217,0,14,28,0,6,0,0,58,65,67,30,19,3,6310,2943,3367,50906,21507,29399,1196,1657,2327,1130,600,847,1036,460,596,810,1291,670,3678,5399,12181,9123,9693,1723,2180,5145,4082,4304,1955,3219,7036,5041,5389
2019,33,15,129,0,0,59,0,25,57,0,4,0,0,18,26,45,17,20,0,7568,3485,4083,62588,31294,31294,1157,1520,2887,2004,717,891,1052,825,440,629,1835,1179,10653,7168,11244,8695,13089,4808,3797,6420,4758,6141,5845,3371,4824,3937,6948
2019,34,23,209,0,3,42,0,88,89,0,10,0,0,17,76,67,30,14,0,11098,6035,5063,90000,41031,48969,1770,2350,4722,2256,915,1453,2670,997,855,897,2052,1259,14455,9444,16516,12639,19360,6327,3688,8414,6651,8460,8128,5756,8102,5988,10900
2019,40,15,240,0,0,131,0,41,79,0,4,0,0,39,84,69,18,24,1,10376,4977,5399,55206,24892,30314,2661,2649,4364,702,1474,1436,1930,137,1187,1213,2434,565,9927,10638,15666,9022,4963,4568,4701,7602,3936,2182,5359,5937,8064,5086,2781
2019,41,9,114,0,0,55,0,26,40,0,1,0,0,18,44,36,8,10,1,6209,3369,2840,36277,16426,19851,1490,1500,2808,411,941,937,1378,113,549,563,1430,298,6615,5649,10249,6089,3969,2968,2693,5166,2565,1334,3647,2956,5083,3524,2635
2019,42,12,232,0,0,158,0,32,49,0,4,0,0,30,82,69,25,15,1,9781,4857,4924,55202,24440,30762,2400,3204,3709,468,1398,1559,1707,193,1002,1645,2002,275,8908,9387,15674,10335,5400,3893,4473,8062,4004,1911,5015,4914,7612,6331,3489
2019,43,25,260,0,3,155,0,38,82,0,4,0,0,39,101,63,19,32,2,16684,8417,8267,107081,47807,59274,3645,4659,6734,1646,2041,2375,3412,589,1604,2284,3322,1057,14710,13547,29944,20379,13367,6499,6032,14529,9128,5617,8211,7515,15415,11251,7750
2019,44,12,203,0,0,113,0,36,60,0,5,0,0,29,49,65,36,14,1,17003,8590,8413,103400,46092,57308,3656,4628,7588,1131,2042,2680,3436,432,1614,1948,4152,699,17976,15520,29650,17654,11623,8257,7028,14037,7782,5012,9719,8492,15613,9872,6611
2019,45,5,103,0,1,56,0,7,25,0,18,0,0,26,32,18,15,7,0,10635,5949,4686,93080,40896,52184,1059,2837,5431,1308,663,1742,2991,553,396,1095,2440,755,7456,8243,26235,16807,14952,3010,4007,13102,7392,6222,4446,4236,13133,9415,8730
2019,46,20,229,0,2,133,0,44,68,0,2,0,0,30,72,58,35,18,1,12561,6269,6292,65053,29281,35772,3262,3420,5252,627,1881,1688,2523,177,1381,1732,2729,450,10946,11871,18559,11126,5692,4876,5322,9485,4957,2172,6070,6549,9074,6169,3520
2019,47,15,170,0,0,135,0,14,25,0,12,0,0,30,51,38,25,18,1,17345,8199,9146,114568,49478,65090,3419,3917,7791,2218,1778,2298,3498,625,1641,1619,4293,1593,9671,13661,34098,20197,17650,4333,5991,16268,8936,7103,5338,7670,17830,11261,10547
2019,48,11,240,0,0,135,0,40,65,0,5,0,0,50,67,63,17,9,0,10978,5226,5752,54939,24551,30388,2847,3227,4101,803,1455,1612,1883,276,1392,1615,2218,527,9210,10046,14899,10187,5393,4283,3844,7360,4439,2533,4927,6202,7539,5748,2860
