GEO_ID,CENSUS_TRACT,BOROUGH,CITY,PRECINCT,POP_AGE18_24,POP_AGE18_24_M,POP_AGE18_24_F,POP_25OVER,POP_25OVER_M,POP_25OVER_F,UNDERHS_AGE18to24,UNDERHS_AGE18to24_M,UNDERHS_AGE18to24_F,UNDER9th_25OVER,UNDER9th_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER,UNDERHS_25OVER_M,UNDERHS_25OVER_F
1400000US36061012900,Census Tract 129,Manhattan, New York,18,666,302,364,4258,2763,1495,17,8,0,200,61,81,153,75,79
1400000US36061015200,Census Tract 152,Manhattan, New York,19,485,126,359,5633,2419,3214,50,13,31,614,143,270,338,94,244
1400000US36005019400,Census Tract 194,Bronx, New York,45,75,42,33,1205,586,619,0,0,0,0,29,50,192,64,128
1400000US36061000202,Census Tract 2.02,Manhattan, New York,7,506,148,358,6283,3115,3168,159,46,82,2193,583,741,898,526,371
1400000US36061028700,Census Tract 287,Manhattan, New York,115,424,196,228,2900,1213,1687,108,50,84,458,58,299,392,221,170
1400000US36005029301,Census Tract 293.01,Bronx, New York,50,35,11,24,1436,685,751,0,0,0,0,0,9,26,9,17
1400000US36005030900,Census Tract 309,Bronx, New York,50,58,41,17,2593,1051,1542,0,0,0,0,30,32,150,45,106
1400000US36061003900,Census Tract 39,Manhattan, New York,1,142,91,51,3670,1764,1906,0,0,0,0,0,27,121,46,74
1400000US36005041400,Census Tract 414,Bronx, New York,47,469,253,216,3189,1390,1799,148,80,102,415,70,171,424,229,194
1400000US36061006200,Census Tract 62,Manhattan, New York,13,1027,386,641,2650,1264,1386,24,9,40,0,16,15,95,76,19
1400000US36047062800,Census Tract 628,Brooklyn, New York,61,567,242,325,3460,1662,1798,16,7,0,170,18,22,235,150,86
1400000US36061008601,Census Tract 86.01,Manhattan, New York,17,301,32,269,1844,982,862,0,0,0,0,5,0,9,0,9
1400000US36061008602,Census Tract 86.02,Manhattan, New York,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047990100,Census Tract 9901,Brooklyn, New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36081990100,Census Tract 9901,Queens, New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36085990100,Census Tract 9901,Staten Island, New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36061000100,Census Tract 1,Manhattan, New York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36061001300,Census Tract 13,Manhattan, New York,1,502,123,379,3035,1597,1438,0,0,0,0,0,0,36,35,0
1400000US36061002100,Census Tract 21,Manhattan, New York,1,343,105,238,3662,1930,1732,4,1,0,62,27,24,26,0,24
1400000US36061003100,Census Tract 31,Manhattan, New York,1,1462,638,824,1208,468,740,18,8,0,25,44,87,120,49,71
1400000US36061003300,Census Tract 33,Manhattan, New York,1,257,127,130,3550,1779,1771,6,3,0,163,0,0,0,0,0
1400000US36061003700,Census Tract 37,Manhattan, New York,1,378,64,314,1644,781,863,16,3,0,84,9,34,44,22,22
1400000US36061004700,Census Tract 47,Manhattan, New York,1,153,69,84,1948,1060,888,14,6,0,325,0,0,162,69,93
1400000US36061004900,Census Tract 49,Manhattan, New York,1,440,178,262,3770,1969,1801,0,0,0,0,33,43,45,32,13
1400000US36061006900,Census Tract 69,Manhattan, New York,1,621,164,457,1743,962,781,18,5,50,0,0,9,0,0,0
1400000US36061031703,Census Tract 317.03,Manhattan, New York,1,103,57,46,5651,2519,3132,0,0,0,0,13,69,34,35,0
1400000US36061031704,Census Tract 317.04,Manhattan, New York,1,186,87,99,4407,2146,2261,0,0,0,0,62,29,48,49,0
1400000US36061031900,Census Tract 319,Manhattan, New York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36061001501,Census Tract 15.01,Manhattan, New York,5,555,295,260,4049,1738,2311,25,13,0,389,116,312,275,43,231
1400000US36061001600,Census Tract 16,Manhattan, New York,5,582,308,274,6228,3220,3008,62,33,55,0,989,1245,853,580,274
1400000US36061002500,Census Tract 25,Manhattan, New York,5,600,331,269,3446,1328,2118,123,68,74,410,449,765,593,206,385
1400000US36061002700,Census Tract 27,Manhattan, New York,5,126,57,69,981,396,585,0,0,0,0,96,116,101,36,65
1400000US36061002900,Census Tract 29,Manhattan, New York,5,702,531,171,5242,3014,2228,164,124,51,121,760,820,640,482,158
1400000US36061003001,Census Tract 30.01,Manhattan, New York,5,498,205,293,3791,2075,1716,18,7,23,27,158,269,49,0,51
1400000US36061003601,Census Tract 36.01,Manhattan, New York,5,513,224,289,2157,1145,1012,69,30,59,173,79,231,170,82,89
1400000US36061004100,Census Tract 41,Manhattan, New York,5,1099,424,675,5506,2418,3088,0,0,0,0,786,1062,374,133,238
1400000US36061004300,Census Tract 43,Manhattan, New York,5,404,238,166,3769,2177,1592,35,21,6,592,172,174,139,37,103
1400000US36061004500,Census Tract 45,Manhattan, New York,5,32,2,30,726,375,351,0,0,0,0,28,0,0,0,0
1400000US36061005501,Census Tract 55.01,Manhattan, New York,6,366,243,123,3424,1731,1693,29,19,15,0,0,0,17,0,15
1400000US36061005700,Census Tract 57,Manhattan, New York,6,195,124,71,2115,1062,1053,0,0,0,0,0,11,2,3,0
1400000US36061005900,Census Tract 59,Manhattan, New York,6,1170,435,735,3948,1756,2192,11,4,10,28,14,15,28,5,22
1400000US36061006300,Census Tract 63,Manhattan, New York,6,334,104,230,5203,2537,2666,26,8,31,271,0,0,57,41,19
1400000US36061006500,Census Tract 65,Manhattan, New York,6,1913,599,1314,4681,2480,2201,0,0,0,0,2,55,47,25,22
1400000US36061006700,Census Tract 67,Manhattan, New York,6,511,148,363,4553,2041,2512,0,0,0,0,12,0,96,14,83
